Name,Description,Director,Year,Runtime,Age Restriction,Ratings
Napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",Ridley Scott,2023,2h 38m,R,"6.6
 (48K)"
The Hunger Games: The Ballad of Songbirds & Snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,2023,2h 37m,PG-13,"7.2
 (42K)"
Furiosa: A Mad Max Saga,The origin story of renegade warrior Furiosa before she teamed up with Mad Max in 'Fury Road',George Miller,,0h 0m,2024,
Saltburn,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",Emerald Fennell,2023,2h 11m,R,"7.5
 (9.2K)"
Leo,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,Robert Marianetti,2023,1h 42m,PG,"7.0
 (14K)"
Oppenheimer,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Christopher Nolan,2023,3h 0m,R,"8.4
 (532K)"
Wish,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,Chris Buck,2023,1h 35m,PG,"5.9
 (7.8K)"
The Killer,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",David Fincher,2023,1h 58m,R,"6.8
 (124K)"
May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",Todd Haynes,2023,1h 57m,R,"7.2
 (8.2K)"
The Holdovers,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.,Alexander Payne,2023,2h 13m,R,"8.1
 (13K)"
Thanksgiving,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",Eli Roth,2023,1h 46m,R,"6.9
 (10K)"
Animal,"A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.",Sandeep Reddy Vanga,2023,0h 0m,"2023
3h 22m","7.4
 (23K)"
Godzilla Minus One,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Takashi Yamazaki,2023,2h 4m,PG-13,"8.5
 (6.6K)"
Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",Martin Scorsese,2023,3h 26m,R,"8.0
 (99K)"
A Haunting in Venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Kenneth Branagh,2023,1h 43m,PG-13,"6.5
 (75K)"
Candy Cane Lane,"A man is determined to win the neighborhood's annual Christmas decorating contest. He makes a pact with an elf to help him win--and the elf casts a spell that brings the 12 days of Christmas to life, which brings unexpected chaos to town.",Reginald Hudlin,2023,1h 57m,PG,"5.7
 (4.6K)"
Family Switch,"When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal, and soccer tryout?",McG,2023,1h 46m,PG,"5.7
 (6.9K)"
Wonka,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",Paul King,2023,1h 56m,PG,
Five Nights at Freddy's,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.",Emma Tammi,2023,1h 49m,PG-13,"5.5
 (75K)"
Poor Things,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Yorgos Lanthimos,2023,2h 21m,R,"8.5
 (3.7K)"
The Marvels,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",Nia DaCosta,2023,1h 45m,PG-13,"6.0
 (59K)"
Silent Night,A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.,John Woo,2023,1h 44m,R,"6.0
 (1.4K)"
National Lampoon's Christmas Vacation,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,1989,1h 37m,PG-13,"7.5
 (209K)"
The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,2012,2h 22m,PG-13,"7.2
 (977K)"
The Creator,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,2023,2h 13m,PG-13,"6.9
 (82K)"
Trolls Band Together,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.",Walt Dohrn,2023,1h 31m,PG,"6.0
 (5.7K)"
Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,2003,2h 15m,R,"7.6
 (512K)"
Freelance,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle.",Pierre Morel,2023,1h 48m,R,"5.4
 (4.6K)"
Leo,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",Lokesh Kanagaraj,2023,0h 0m,"2023
2h 44m","7.4
 (47K)"
Night Swim,A woman swimming in her pool at night is terrorized by an evil spirit.,Bryce McGuire,2024,1h 56m,PG-13,
Home Alone,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Chris Columbus,1990,1h 43m,PG,"7.7
 (621K)"
Elf,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,2003,1h 37m,PG,"7.1
 (295K)"
In the Land of Saints and Sinners,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.",Robert Lorenz,2023,1h 46m,R,"6.2
 (1.6K)"
Barbie,Barbie suffers a crisis that leads her to question her world and her existence.,Greta Gerwig,2023,1h 54m,PG-13,"7.0
 (397K)"
Last Call for Istanbul,"A chance meeting at the airport leads two married people to an unforgettable night full of excitement, desire, and temptation in New York City.",Gonenc Uyanik,2023,1h 31m,TV-MA,"5.4
 (5.7K)"
No Hard Feelings,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,2023,1h 43m,R,"6.4
 (113K)"
Aquaman and the Lost Kingdom,"Aquaman balances his duties as king and as a member of the Justice League, all while planning a wedding. Black Manta is on the hunt for Atlantean tech to help rebuild his armor. Orm plots to escape his Atlantean prison.",James Wan,2023,1h 55m,PG-13,
Tiger 3,Tiger and Zoya are back - to save the country and their family. This time it's personal.,Maneesh Sharma,2023,0h 0m,"2023
2h 34m","7.4
 (42K)"
The Shift,"After meeting a mysterious stranger, a man must escape a ""dystopian"" world to return to his wife.",Brock Heasley,2023,1h 55m,PG-13,"6.4
 (1K)"
Lady Ballers,"A down-on-his-luck former high school basketball coach will do anything to win, which in this case means leading his team of men to don wigs and brutally dominate in multiple women's sports.",Jeremy Boreing,2023,0h 0m,"2023
TV-14","7.0
 (4.9K)"
Indiana Jones and the Dial of Destiny,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,James Mangold,2023,2h 34m,PG-13,"6.6
 (147K)"
Genie,The film is a fairy-tale comedy about a workaholic man who enlists the help of a magical genie to help win his family back before Christmas.,Sam Boyd,2023,1h 33m,PG,"5.9
 (3.6K)"
Blue Beetle,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",Angel Manuel Soto,2023,2h 7m,PG-13,"6.0
 (74K)"
Dream Scenario,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",Kristoffer Borgli,2023,1h 42m,R,"7.4
 (5.4K)"
X,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,2022,1h 45m,R,"6.5
 (155K)"
Anyone But You,"After an amazing first date, Bea and Ben's fiery attraction turns ice cold - until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",Will Gluck,2023,0h 0m,"2023
1h 40m",
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",George Miller,2015,2h 0m,R,"8.1
 (1.1M)"
Mission: Impossible - Dead Reckoning Part One,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,Christopher McQuarrie,2023,2h 43m,PG-13,"7.8
 (196K)"
Violent Night,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",Tommy Wirkola,2022,1h 52m,R,"6.7
 (83K)"
Maestro,This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.,Bradley Cooper,2023,2h 9m,R,"7.2
 (1.5K)"
Best. Christmas. Ever!,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,2023,1h 22m,TV-PG,"4.3
 (6.1K)"
The Book of Clarence,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.",Jeymes Samuel,2023,0h 0m,"2023
2h 16m",
How the Grinch Stole Christmas,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,2000,1h 44m,PG,"6.3
 (276K)"
The Grinch,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,2018,1h 25m,PG,"6.4
 (82K)"
Good Burger 2,"After his latest invention fails, Dex is welcomed back by Ed to his old job at Good Burger, which is once again put in jeopardy when Dex devises a plan to get back on his feet.",Phil Traill,2023,1h 30m,TV-PG,"5.4
 (1.9K)"
Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",Joaquim Dos Santos,2023,2h 20m,PG,"8.7
 (306K)"
The Marsh King's Daughter,A woman seeks revenge against the man who kidnapped her mother.,Neil Burger,2023,1h 49m,R,"5.9
 (3.8K)"
Scott Pilgrim vs. the World,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,2010,1h 52m,PG-13,"7.5
 (456K)"
The Hunger Games: Catching Fire,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Francis Lawrence,2013,2h 26m,PG-13,"7.5
 (704K)"
Leave the World Behind,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door.",Sam Esmail,2023,2h 18m,R,"7.0
 (446)"
The Holiday,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",Nancy Meyers,2006,2h 16m,PG-13,"6.9
 (308K)"
The Naughty Nine,"When Andy finds out he's on Santa's ""naughty list,"" he pulls together a group of ""naughty list"" kids to get the presents they think they deserve.",Alberto Belli,2023,1h 23m,TV-PG,"5.0
 (925)"
Reptile,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.",Grant Singer,2023,2h 14m,R,"6.8
 (69K)"
The Godfather,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,1972,2h 55m,R,"9.2
 (2M)"
Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,2001,2h 32m,PG,"7.6
 (835K)"
The Polar Express,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,2004,1h 40m,G,"6.6
 (230K)"
Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,2014,2h 49m,PG-13,"8.7
 (2M)"
Jawan,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,2023,2h 49m,Not Rated,"7.1
 (78K)"
Anatomy of a Fall,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness.",Justine Triet,2023,2h 31m,R,"7.9
 (17K)"
The Boy and the Heron,"A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning. A semi-autobiographical fantasy from the mind of Hayao Miyazaki.",Hayao Miyazaki,2023,2h 4m,PG-13,"7.6
 (7.1K)"
Die Hard,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,1988,2h 12m,R,"8.2
 (920K)"
Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",Danny Philippou,2022,1h 35m,R,"7.1
 (107K)"
John Wick: Chapter 4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,2023,2h 49m,R,"7.7
 (303K)"
The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Antoine Fuqua,2023,1h 49m,R,"6.9
 (73K)"
The Iron Claw,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",Sean Durkin,2023,0h 0m,"2023
2h 10m",
Australia,"In 1939, an Englishwoman inherits a sprawling ranch in northern Australia and reluctantly makes a pact with a stockman to drive 2000 head of cattle over unforgiving landscape.",Baz Luhrmann,2008,2h 45m,PG-13,"6.6
 (128K)"
The Shawshank Redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,1994,2h 22m,R,"9.3
 (2.8M)"
Priscilla,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",Sofia Coppola,2023,1h 53m,R,"7.0
 (5.9K)"
Feast of the Seven Fishes,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,2019,0h 0m,"2019
1h 39m","6.8
 (2.2K)"
Pain Hustlers,"Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy.",David Yates,2023,2h 3m,R,"6.5
 (30K)"
White Christmas,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,1954,2h 0m,Not Rated,"7.6
 (48K)"
Eileen,A woman's friendship with a new co-worker at the prison facility where she works takes a sinister turn.,William Oldroyd,2023,1h 37m,R,"6.7
 (857)"
Please Don't Destroy: The Treasure of Foggy Mountain,"It follows three friends who live together. When they realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",Paul Briganti,2023,1h 32m,R,"6.1
 (3.6K)"
The Santa Clause,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,1994,1h 37m,PG,"6.5
 (128K)"
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,2022,2h 56m,PG-13,"7.8
 (747K)"
The Hunger Games: Mockingjay - Part 2,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,Francis Lawrence,2015,2h 17m,PG-13,"6.5
 (359K)"
Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,Daniel Kwan,2022,2h 19m,R,"7.8
 (491K)"
Sound of Freedom,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,Alejandro Monteverde,2023,2h 11m,PG-13,"7.7
 (87K)"
Nyad,"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.",Jimmy Chin,2023,2h 1m,PG-13,"7.1
 (12K)"
Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",Celine Song,2023,1h 45m,PG-13,"8.0
 (45K)"
Uncharted,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,2022,1h 56m,PG-13,"6.3
 (244K)"
Home Alone 2: Lost in New York,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,1992,2h 0m,PG,"6.8
 (385K)"
Bottoms,Two unpopular queer high-school students start a fight club to have sex before graduation.,Emma Seligman,2023,1h 31m,R,"6.9
 (23K)"
Old Dads,"Three best friends become fathers later in life and find themselves battling preschool principals, millennial CEOs, and anything created after 1987.",Bill Burr,2023,1h 44m,R,"6.2
 (32K)"
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,2000,2h 35m,R,"8.5
 (1.6M)"
Rebel Moon: Part One - A Child of Fire,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",Zack Snyder,2023,2h 13m,PG-13,
Memory,Sylvia is a social worker who leads a simple and structured life. This is blown open when Saul follows her home from their high school reunion. Their surprise encounter will profoundly impact both of them as they open the door to the past.,Michel Franco,2023,1h 40m,R,"7.0
 (358)"
Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,2021,2h 35m,PG-13,"8.0
 (730K)"
Argylle,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.,Matthew Vaughn,2024,0h 0m,"2024
2h 15m",
A Christmas Story,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",Bob Clark,1983,1h 33m,PG,"7.9
 (163K)"
